ts,port,ok,alerts,seeds,samples,thr_offset,lb_slack
2025-08-07 23:08:50,gulfport,1,0,42,100,0.0,0.03
2025-08-07 23:10:05,gulfport,1,0,42,100,0.0,0.03
2025-08-07 23:12:36,gulfport,1,0,42,100,0.0,0.03
2025-08-07 23:14:23,gulfport,0,2,42,100,0.0,0.03
2025-08-07 23:22:27,gulfport,0,2,42,100,0.0,0.03
2025-08-07 23:31:22,baton_rouge,0,2,42/123/2025,800,0.0,0.03
2025-08-07 23:31:22,new_orleans,0,2,42/123/2025,800,0.0,0.03
2025-08-07 23:31:22,south_louisiana,1,0,42/123/2025,800,0.0,0.03
2025-08-07 23:31:22,gulfport,0,1,42/123/2025,800,0.0,0.03
2025-08-07 23:47:19,baton_rouge,0,2,42/123/2025,400,0.0,0.03
2025-08-07 23:47:19,new_orleans,0,2,42/123/2025,400,0.0,0.03
2025-08-07 23:47:19,gulfport,0,1,42/123/2025,400,0.0,0.03
2025-08-07 23:48:33,baton_rouge,0,2,42/123/2025,400,0.0,0.03
2025-08-07 23:48:33,new_orleans,0,3,42/123/2025,400,0.0,0.03
2025-08-07 23:48:33,gulfport,0,2,42/123/2025,400,0.0,0.03
2025-08-07 23:51:26,baton_rouge,0,2,42/123/2025,400,0.0,0.04
2025-08-07 23:51:26,new_orleans,0,3,42/123/2025,400,0.0,0.04
2025-08-07 23:51:26,gulfport,0,2,42/123/2025,400,0.0,0.04
2025-08-08 00:01:14,baton_rouge,0,2,42/123/2025,400,0.0,0.04
2025-08-08 00:01:14,new_orleans,0,3,42/123/2025,400,0.0,0.04
2025-08-08 00:01:14,gulfport,0,2,42/123/2025,400,0.0,0.04
2025-08-08 00:21:27,gulfport,0,2,42,20,0.0,0.03
2025-08-08 00:22:07,gulfport,0,1,42/123/2025,200,0.0,0.04
2025-08-08 09:10:18,baton_rouge,0,2,42/123/2025,400,0.0,0.04
2025-08-08 09:10:18,new_orleans,0,2,42/123/2025,400,0.0,0.04
2025-08-08 09:10:57,baton_rouge,1,0,42/123/2025,400,0.0,0.04
2025-08-08 09:10:57,new_orleans,0,2,42/123/2025,400,0.0,0.04
2025-08-08 09:38:08,gulfport,0,2,42/123/2025,400,0.0,0.04
2025-08-08 09:38:08,baton_rouge,0,2,42/123/2025,400,0.0,0.04
2025-08-08 09:38:08,new_orleans,0,3,42/123/2025,400,0.0,0.04
2025-08-08 09:38:08,south_louisiana,0,1,42/123/2025,400,0.0,0.04
2025-08-10 19:28:29,gulfport,1,0,42,400,0.0,0.03
2025-08-10 19:29:10,gulfport,1,0,42,700,0.0,0.03
2025-08-10 19:29:18,gulfport,1,0,123,700,0.0,0.03
2025-08-10 19:29:26,gulfport,1,0,2025,700,0.0,0.03
2025-08-10 19:29:31,new_orleans,1,0,42,700,0.0,0.03
2025-08-10 19:29:53,new_orleans,1,0,123,700,0.0,0.03
2025-08-10 19:30:15,new_orleans,1,0,2025,700,0.0,0.03
2025-08-10 19:30:34,south_louisiana,1,0,42,900,0.0,0.03
2025-08-10 19:30:44,south_louisiana,1,0,123,900,0.0,0.03
2025-08-10 19:30:58,south_louisiana,1,0,2025,900,0.0,0.03
2025-08-10 19:31:08,baton_rouge,1,0,42,800,0.0,0.03
2025-08-10 19:31:23,baton_rouge,1,0,123,800,0.0,0.03
2025-08-10 19:31:40,baton_rouge,1,0,2025,800,0.0,0.03
